21
  [0] -> x: -0.202456, y: -0.133065, z: 0.719536
  [11] -> x: -0.221341, y: 0.0109021, z: 0.42796
  [12] -> x: -0.225296, y: -0.0632949, z: 0.419487
  [13] -> x: -0.243673, y: -0.132653, z: 0.41683
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.255795, y: -0.0515295, z: 0.201406
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.240817, y: -0.0421011, z: 0.184015
  [18] -> x: -0.263611, y: -0.0534314, z: 0.238865
  [19] -> x: -0.314983, y: -0.0855597, z: 0.110609
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.203018, y: -0.134623, z: 0.719084
  [1] -> x: -0.154354, y: -0.0876051, z: 0.683226
  [2] -> x: -0.263909, y: -0.0883602, z: 0.657048
  [3] -> x: -0.0722845, y: -0.120598, z: 0.684523
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.102634, y: -0.106015, z: 0.687474
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.209132, y: -0.0879826, z: 0.670137
  [10] -> x: -0.223318, y: -0.0261964, z: 0.423724
  [11] -> x: -0.221341, y: 0.0109022, z: 0.42796
  [12] -> x: -0.225296, y: -0.0632951, z: 0.419487
  [13] -> x: -0.243673, y: -0.132656, z: 0.416832
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.255794, y: -0.0515275, z: 0.201408
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.240817, y: -0.0420999, z: 0.184017
  [18] -> x: -0.26361, y: -0.05346, z: 0.238808
  [19] -> x: -0.314981, y: -0.0855582, z: 0.110611
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202575, y: -0.134966, z: 0.715876
  [1] -> x: -0.159722, y: -0.0824848, z: 0.681672
  [2] -> x: -0.264005, y: -0.0883411, z: 0.656708
  [3] -> x: -0.0738039, y: -0.118304, z: 0.679629
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0959356, y: -0.113113, z: 0.682312
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.211863, y: -0.0854129, z: 0.66919
  [10] -> x: -0.235959, y: -0.0161051, z: 0.425755
  [11] -> x: -0.231217, y: 0.0176706, z: 0.432116
  [12] -> x: -0.2407, y: -0.0498807, z: 0.419394
  [13] -> x: -0.22621, y: -0.138065, z: 0.40461
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.254258, y: -0.070875, z: 0.193186
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.243778, y: -0.0516555, z: 0.172244
  [18] -> x: -0.277306, y: -0.0680976, z: 0.197772
  [19] -> x: -0.315938, y: -0.094484, z: 0.102547
  [20] -> x: -0.435893, y: -0.0346694, z: 0.121928
21
  [0] -> x: -0.202571, y: -0.13497, z: 0.715841
  [1] -> x: -0.159764, y: -0.0824445, z: 0.681659
  [2] -> x: -0.264006, y: -0.0883409, z: 0.656704
  [3] -> x: -0.0738861, y: -0.11818, z: 0.679365
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0949277, y: -0.11418, z: 0.681522
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.211885, y: -0.0853927, z: 0.669182
  [10] -> x: -0.236061, y: -0.0160229, z: 0.425771
  [11] -> x: -0.231296, y: 0.0177243, z: 0.432149
  [12] -> x: -0.240827, y: -0.0497701, z: 0.419393
  [13] -> x: -0.225568, y: -0.138264, z: 0.40416
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.254189, y: -0.0717399, z: 0.192818
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.243955, y: -0.0522293, z: 0.171537
  [18] -> x: -0.279294, y: -0.070219, z: 0.191822
  [19] -> x: -0.315983, y: -0.0949038, z: 0.102168
  [20] -> x: -0.436401, y: -0.0347098, z: 0.12207
21
  [0] -> x: -0.202573, y: -0.134968, z: 0.715858
  [1] -> x: -0.159744, y: -0.0824641, z: 0.681665
  [2] -> x: -0.264005, y: -0.088341, z: 0.656706
  [3] -> x: -0.0738528, y: -0.11823, z: 0.679472
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0951714, y: -0.113922, z: 0.681706
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.211874, y: -0.0854026, z: 0.669186
  [10] -> x: -0.236012, y: -0.0160628, z: 0.425763
  [11] -> x: -0.231258, y: 0.0176982, z: 0.432133
  [12] -> x: -0.240765, y: -0.0498238, z: 0.419393
  [13] -> x: -0.225848, y: -0.138177, z: 0.404357
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.254218, y: -0.0713745, z: 0.192974
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.243885, y: -0.0520022, z: 0.171817
  [18] -> x: -0.278801, y: -0.0696913, z: 0.193301
  [19] -> x: -0.315964, y: -0.0947281, z: 0.102327
  [20] -> x: -0.436013, y: -0.0346789, z: 0.121962
21
  [0] -> x: -0.202573, y: -0.134968, z: 0.715858
  [1] -> x: -0.159743, y: -0.0824646, z: 0.681666
  [2] -> x: -0.264005, y: -0.088341, z: 0.656706
  [3] -> x: -0.0738468, y: -0.118239, z: 0.679491
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0953286, y: -0.113756, z: 0.681827
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.211874, y: -0.0854028, z: 0.669186
  [10] -> x: -0.23601, y: -0.0160638, z: 0.425763
  [11] -> x: -0.231257, y: 0.0176976, z: 0.432132
  [12] -> x: -0.240764, y: -0.0498252, z: 0.419393
  [13] -> x: -0.225881, y: -0.138167, z: 0.40438
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.254222, y: -0.0713216, z: 0.192996
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.243871, y: -0.0519569, z: 0.171872
  [18] -> x: -0.278499, y: -0.069369, z: 0.194204
  [19] -> x: -0.315961, y: -0.0947013, z: 0.102351
  [20] -> x: -0.435891, y: -0.0346692, z: 0.121928
21
  [0] -> x: -0.202764, y: -0.13489, z: 0.714813
  [1] -> x: -0.168386, y: -0.0783066, z: 0.680282
  [2] -> x: -0.264527, y: -0.0862662, z: 0.6551
  [3] -> x: -0.0771357, y: -0.118653, z: 0.678789
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0855661, y: -0.126285, z: 0.689791
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.216457, y: -0.0822864, z: 0.667691
  [10] -> x: -0.235977, y: -0.0162491, z: 0.429698
  [11] -> x: -0.227517, y: 0.00694541, z: 0.433963
  [12] -> x: -0.244438, y: -0.0394437, z: 0.425434
  [13] -> x: -0.251069, y: -0.127405, z: 0.405292
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.290283, y: -0.0717034, z: 0.201816
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.265138, y: -0.0666621, z: 0.184121
  [18] -> x: -0.281518, y: -0.0721024, z: 0.189832
  [19] -> x: -0.343774, y: -0.100704, z: 0.115729
  [20] -> x: -0.449605, y: -0.0243702, z: 0.119714
21
  [0] -> x: -0.202766, y: -0.134889, z: 0.714802
  [1] -> x: -0.168454, y: -0.0782739, z: 0.680271
  [2] -> x: -0.264532, y: -0.0862459, z: 0.655084
  [3] -> x: -0.0773099, y: -0.118675, z: 0.678752
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0840516, y: -0.128227, z: 0.691012
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.216493, y: -0.0822599, z: 0.667678
  [10] -> x: -0.235978, y: -0.0162489, z: 0.429731
  [11] -> x: -0.227488, y: 0.00686006, z: 0.433977
  [12] -> x: -0.244468, y: -0.039358, z: 0.425484
  [13] -> x: -0.251929, y: -0.127038, z: 0.405323
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.291773, y: -0.0717204, z: 0.20218
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.266327, y: -0.0674848, z: 0.184803
  [18] -> x: -0.281952, y: -0.0724972, z: 0.189181
  [19] -> x: -0.344985, y: -0.100966, z: 0.116311
  [20] -> x: -0.451589, y: -0.0228869, z: 0.119397
21
  [0] -> x: -0.202765, y: -0.13489, z: 0.714808
  [1] -> x: -0.168421, y: -0.0782898, z: 0.680277
  [2] -> x: -0.26453, y: -0.0862557, z: 0.655092
  [3] -> x: -0.0772389, y: -0.118666, z: 0.678767
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0844007, y: -0.127778, z: 0.690723
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.216475, y: -0.0822727, z: 0.667684
  [10] -> x: -0.235978, y: -0.016249, z: 0.429715
  [11] -> x: -0.227502, y: 0.00690155, z: 0.43397
  [12] -> x: -0.244453, y: -0.0393996, z: 0.42546
  [13] -> x: -0.251549, y: -0.1272, z: 0.405309
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.291134, y: -0.0717138, z: 0.202023
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.265848, y: -0.0671539, z: 0.184527
  [18] -> x: -0.281848, y: -0.0724039, z: 0.189324
  [19] -> x: -0.344471, y: -0.100855, z: 0.116063
  [20] -> x: -0.451099, y: -0.0232574, z: 0.119477
21
  [0] -> x: -0.202765, y: -0.13489, z: 0.714808
  [1] -> x: -0.16842, y: -0.0782902, z: 0.680277
  [2] -> x: -0.264529, y: -0.086256, z: 0.655092
  [3] -> x: -0.0772266, y: -0.118665, z: 0.678769
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0846342, y: -0.127478, z: 0.690533
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.216475, y: -0.0822731, z: 0.667685
  [10] -> x: -0.235978, y: -0.016249, z: 0.429715
  [11] -> x: -0.227502, y: 0.00690255, z: 0.43397
  [12] -> x: -0.244453, y: -0.0394006, z: 0.425459
  [13] -> x: -0.251508, y: -0.127217, z: 0.405307
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.291049, y: -0.0717129, z: 0.202003
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.26576, y: -0.0670928, z: 0.184476
